# mapchip,name,move,transparent
# 元々alphaチャネルを持ったpngの場合，transparent=0
0,none,0,0
1,lightsource,1,0
2,barrel,0,1
3,bed,0,1
4,blue_flower,1,1
5,bookshelf,0,0
6,bridge_h,1,0
7,bridge_v,1,0
8,burn-c,1,0
9,burn-l,1,0
10,burn-r,1,0
11,cargo,0,1
12,carpet,1,0
13,castle1,1,1
14,castle2,1,1
15,castle3,1,1
16,castle4,1,1
17,cave-ent-d,1,0
18,cave-ent-u,0,0
19,chair,1,1
20,church,1,0
21,cliff-water-c,0,0
22,cliff-water-l,0,0
23,cliff-water-r,0,0
24,darkness,0,0
25,deepwater,1,0
26,desert,1,0
27,door,0,0
28,downstairs,1,0
29,drawers,0,0
30,dungeon,1,0
31,dungeon_floor,1,0
32,dungeon_wall,0,0
33,flat,1,0
34,forest,0,1
35,forest1,0,1
36,forest2,0,1
37,forest3,0,1
38,forest4,0,1
39,forest5,0,1
40,forest6,0,1
41,forest7,0,1
42,goods,0,1
43,grass-cc,1,0
44,grass-cl,1,0
45,grass-cliff-c,1,0
46,grass-cliff-dl,0,0
47,grass-cliff-dr,0,0
48,grass-cliff-ul,1,0
49,grass-cliff-ur,1,0
50,grass-cr,1,0
51,grass-dark,1,0
52,grass-uc,1,0
53,grass-ul,1,0
54,grass-ur,1,0
55,grass,1,0
56,hill,1,0
57,house-enter-0,0,0
58,house-enter-1,0,0
59,house-enter-2,0,0
60,house-enter-3,1,0
61,house-enter-4,0,0
62,house-roof-0,0,1
63,house-roof-1,0,1
64,house-roof-2,0,1
65,house-roof-3,0,1
66,house-roof-4,0,1
67,house-roof-5,0,1
68,house-roof-6,0,1
69,house-roof-7,0,1
70,house-roof-8,0,1
71,house-roof-9,0,1
72,house-roof-A,0,1
73,house-roof-B,0,1
74,house-roof-C,0,1
75,house-roof-D,0,1
76,house-roof-E,0,1
77,house-roof-F,0,1
78,house-roof-G,0,1
79,house-roof-H,0,1
80,house-roof-I,0,1
81,house-roof-J,0,1
82,house-roof-K,0,1
83,house-roof-L,0,1
84,house-wall-0,0,0
85,house-wall-1,0,0
86,house-wall-2,0,0
87,house-wall-3,0,0
88,house-wall-4,0,0
89,house-wall-5,0,0
90,house-wall-6,0,0
91,house-wall-7,0,0
92,house-wall-8,0,0
93,house-window-1,0,0
94,house-window-2,0,0
95,house-window-3,0,0
96,magma,1,0
97,mountain,0,0
98,bar,0,1
99,panel-inn,0,0
100,panel-newt,0,1
101,panel-portion,0,0
102,panel-weapon,0,0
103,poison,1,0
104,pot,0,1
105,pyramid,1,1
106,red_flower,1,1
107,shrine,1,1
108,sign,0,1
109,sign2,0,1
110,sky,0,0
111,snow,1,0
112,stairs,1,0
113,stone-grass-cc,1,0
114,stone-grass-cl,1,0
115,stone-grass-cr,1,0
116,stone-grass-dc,1,0
117,stone-grass-dl,1,0
118,stone-grass-dr,1,0
119,stone-grass-uc,1,0
120,stone-grass-ul,1,0
121,stone-grass-ur,1,0
122,stone_floor,1,0
123,stone_wall,0,0
124,table,0,1
125,throne,1,1
126,tile-c,1,0
127,tile-cl,1,0
128,tile-cr,1,0
129,tile-dc,1,0
130,tile-dl,1,0
131,tile-dr,1,0
132,tile-uc,1,0
133,tile-ul,1,0
134,tile-ur,1,0
135,tomb,0,1
136,tower,1,1
137,town,1,1
138,treasure,1,1
139,tree-1,0,1
140,tree-2,0,1
141,tree-large-1,0,1
142,tree-large-2,0,1
143,tree-large-3,0,1
144,tree-large-4,0,1
145,tree,1,1
146,upstairs,1,0
147,wall-c0,0,0
148,wall-c1,0,0
149,wall-dl,0,0
140,wall-dr,0,0
151,wall-l,0,0
152,water,0,0
153,waterfall1,0,0
154,waterfall2,0,0
155,waterfall3,0,0
156,waterfall4,0,0
157,weapon,0,0
158,well,1,1
159,wood-floor,1,0
